"id","code","description"
"ocu_447","8159","Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes"
"ocu_448","8160","Operadores de máquinas para elaborar productos alimenticios"
"ocu_449","8170","Operadores de máquinas de lavandería y tintorería"
"ocu_450","8191","Operadores de hornos e instalaciones de vidriería y cerámica"
"ocu_451","8192","Operadores de calderas y máquinas de vapor"
"ocu_452","8193","Operadores de máquinas de embalaje"
"ocu_453","8199","Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epígrafes"
"ocu_454","8201","Ensambladores de maquinaria mecánica"
"ocu_455","8202","Ensambladores de equipos eléctricos y electrónicos"
"ocu_456","8209","Montadores y ensambladores no clasificados en otros epígrafes"
"ocu_457","8311","Maquinistas de locomotoras"
"ocu_458","8312","Agentes de maniobras ferroviarias"
"ocu_459","8321","Operadores de maquinaria agrícola móvil"
"ocu_460","8322","Operadores de maquinaria forestal móvil"
"ocu_461","8331","Operadores de maquinaria de movimientos de tierras y equipos similares"
"ocu_462","8332","Operadores de grúas"
"ocu_463","8333","Operadores de carretillas elevadoras"
"ocu_464","8340","Marineros de puente"
"ocu_465","8411","Conductores propietarios de automóviles"
"ocu_466","8412","Conductores asalariados de automóviles"
"ocu_467","8420","Conductores de autobuses y tranvías"
"ocu_468","8431","Conductores propietarios de camiones"
"ocu_469","8432","Conductores asalariados de camiones"
"ocu_470","8440","Conductores de motocicletas y ciclomotores"
"ocu_471","9100","Empleados domésticos"
"ocu_472","9210","Personal de limpieza de oficinas"
"ocu_473","9221","Limpiadores en seco a mano y afines"
"ocu_474","9222","Limpiadores de vehículos"
"ocu_475","9223","Limpiadores de ventanas"
"ocu_476","9229","Otro personal de limpieza"
"ocu_477","9310","Ayudantes de cocina"
"ocu_478","9320","Preparadores de comidas rápidas"
"ocu_479","9410","Vendedores callejeros"
"ocu_480","9420","Repartidores de publicidad"
"ocu_481","9431","Ordenanzas"
"ocu_482","9432","Mozos de equipaje y afines"
"ocu_483","9433","Repartidores"
"ocu_484","9434","Lectores de contadores y recaudadores de máquinas recreativas y expendedoras"
"ocu_485","9441","Recogedores de residuos"
"ocu_486","9442","Clasificadores de desechos"
"ocu_487","9443","Barrenderos y afines"
"ocu_488","9490","Otras ocupaciones elementales"
"ocu_489","9511","Peones agrícolas (excepto en huertas"
"ocu_490","9512","Peones agrícolas en huertas"
"ocu_491","9520","Peones ganaderos"
"ocu_492","9530","Peones agropecuarios"
"ocu_493","9541","Peones de la pesca"
"ocu_494","9542","Peones de la acuicultura"
"ocu_495","9543","Peones forestales y de la caza"
"ocu_496","9601","Peones de obras públicas"
"ocu_497","9602","Peones de la construcción de edificios"
"ocu_498","9603","Peones de la minería"
"ocu_499","9700","Peones de las industrias manufactureras"
"ocu_500","9811","Peones del transporte de mercancías y descargadores"
